transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale
1921,2/8/2022,7:01:00,77,Male,51,Electronics,3,25.00,7.50,75.00
291,11/22/2022,8:29:00,15,Male,60,Clothing,2,300.00,126.00,600.00
907,9/2/2022,6:16:00,145,Female,45,Electronics,1,25.00,8.50,25.00
1291,4/4/2022,11:19:00,72,Male,60,Clothing,2,300.00,153.00,600.00
1907,11/17/2022,11:21:00,115,Female,45,Electronics,1,25.00,9.00,25.00
860,4/11/2022,8:58:00,85,Male,63,Clothing,4,50.00,16.00,200.00
1860,3/12/2022,11:21:00,57,Male,63,Clothing,4,50.00,18.00,200.00
184,2/13/2022,6:44:00,128,Male,31,Electronics,4,50.00,17.00,200.00
734,3/12/2022,8:54:00,77,Female,27,Clothing,1,30.00,15.60,30.00
1184,2/12/2022,8:28:00,23,Male,31,Electronics,4,50.00,27.50,200.00
1734,2/28/2022,8:58:00,72,Female,27,Clothing,1,30.00,14.40,30.00
225,3/5/2022,7:37:00,85,Female,57,Beauty,4,25.00,12.75,100.00
679,8/26/2022,8:59:00,64,Female,18,Beauty,,,,
746,7/5/2022,11:33:00,42,Female,33,Clothing,,,,
1225,2/2/2022,9:51:00,137,Female,57,Beauty,,,,
1679,9/23/2022,8:08:00,71,Female,18,Beauty,3,30.00,15.30,90.00
1746,6/13/2022,7:59:00,88,Female,33,Clothing,3,30.00,10.80,90.00
3,6/14/2022,7:08:00,114,Male,50,Electronics,1,30.00,8.10,30.00
464,3/6/2022,11:13:00,24,Male,38,Electronics,2,300.00,75.00,600.00
484,3/13/2022,7:52:00,135,Female,19,Clothing,4,300.00,75.00,1200.00
591,3/21/2022,8:38:00,94,Male,53,Electronics,4,25.00,6.50,100.00
1003,1/26/2022,7:59:00,80,Male,50,Electronics,1,30.00,15.90,30.00
1464,11/13/2022,10:06:00,80,Male,38,Electronics,2,300.00,126.00,600.00
1484,11/23/2022,9:29:00,22,Female,19,Clothing,4,300.00,147.00,1200.00
1591,9/29/2022,11:00:00,62,Male,53,Electronics,4,25.00,7.00,100.00
21,7/11/2022,7:33:00,59,Female,50,Beauty,1,500.00,275.00,500.00
708,4/6/2022,8:38:00,62,Female,43,Beauty,3,300.00,87.00,900.00
713,4/16/2022,11:43:00,39,Male,34,Beauty,3,25.00,11.25,75.00
768,6/27/2022,6:50:00,58,Female,24,Beauty,3,25.00,10.50,75.00
1021,6/11/2022,10:19:00,44,Female,50,Beauty,1,500.00,155.00,500.00
1708,2/8/2022,7:47:00,41,Female,43,Beauty,3,300.00,162.00,900.00
1713,10/3/2022,10:10:00,90,Male,34,Beauty,3,25.00,10.75,75.00
1768,7/31/2022,9:52:00,85,Female,24,Beauty,3,25.00,8.75,75.00
499,4/3/2022,10:52:00,15,Male,46,Beauty,2,30.00,16.50,60.00
697,12/25/2022,7:52:00,152,Male,53,Clothing,1,500.00,200.00,500.00
831,11/30/2022,11:49:00,149,Male,27,Electronics,4,25.00,13.75,100.00
1499,9/23/2022,9:46:00,3,Male,46,Beauty,2,30.00,11.70,60.00
1697,12/18/2022,8:22:00,54,Male,53,Clothing,1,500.00,265.00,500.00
1831,3/26/2022,10:54:00,80,Male,27,Electronics,4,25.00,6.50,100.00
15,7/1/2022,11:50:00,75,Female,42,Electronics,4,500.00,210.00,2000.00
743,8/7/2022,7:54:00,55,Female,34,Beauty,4,500.00,260.00,2000.00
1015,3/9/2022,11:53:00,94,Female,42,Electronics,4,500.00,200.00,2000.00
1743,10/26/2022,9:37:00,47,Female,34,Beauty,4,500.00,250.00,2000.00
14,5/18/2022,7:11:00,8,Male,64,Clothing,4,30.00,13.20,120.00
103,11/12/2022,10:05:00,33,Female,59,Clothing,1,25.00,10.75,25.00
238,5/10/2022,11:52:00,20,Female,39,Beauty,1,500.00,150.00,500.00
986,8/1/2022,9:35:00,65,Female,49,Clothing,2,500.00,200.00,1000.00
1014,2/4/2022,10:26:00,147,Male,64,Clothing,4,30.00,11.40,120.00
1103,2/14/2022,7:11:00,61,Female,59,Clothing,1,25.00,6.75,25.00
1238,9/17/2022,7:38:00,129,Female,39,Beauty,1,500.00,165.00,500.00
1986,9/14/2022,8:28:00,29,Female,49,Clothing,2,500.00,145.00,1000.00
438,8/31/2022,10:15:00,88,Female,42,Clothing,1,30.00,15.90,30.00
1438,1/7/2022,10:00:00,72,Female,42,Clothing,1,30.00,13.80,30.00
475,8/12/2022,10:39:00,78,Male,26,Clothing,3,25.00,9.00,75.00
505,12/17/2022,7:25:00,86,Male,24,Beauty,1,50.00,19.50,50.00
1475,10/4/2022,7:03:00,132,Male,26,Clothing,3,25.00,10.75,75.00
1505,10/30/2022,8:00:00,98,Male,24,Beauty,1,50.00,14.50,50.00
344,7/17/2022,9:47:00,69,Female,42,Beauty,1,30.00,7.50,30.00
448,3/19/2022,9:36:00,86,Female,54,Beauty,2,30.00,16.20,60.00
742,3/19/2022,6:08:00,37,Female,38,Electronics,4,500.00,195.00,2000.00
1344,12/18/2022,6:12:00,144,Female,42,Beauty,1,30.00,11.10,30.00
1448,5/16/2022,6:28:00,51,Female,54,Beauty,2,30.00,9.30,60.00
1742,11/22/2022,8:25:00,18,Female,38,Electronics,4,500.00,220.00,2000.00
445,4/14/2022,10:48:00,132,Female,53,Electronics,1,300.00,138.00,300.00
787,6/10/2022,10:42:00,25,Male,41,Electronics,1,25.00,13.75,25.00
1445,4/19/2022,6:16:00,31,Female,53,Electronics,1,300.00,129.00,300.00
1787,5/30/2022,7:42:00,104,Male,41,Electronics,1,25.00,10.00,25.00
49,9/17/2022,10:33:00,37,Female,54,Electronics,2,500.00,255.00,1000.00
420,1/2/2022,10:53:00,28,Female,22,Clothing,4,500.00,200.00,2000.00
519,4/8/2022,10:17:00,52,Female,36,Electronics,4,30.00,16.50,120.00
1049,5/16/2022,6:36:00,143,Female,54,Electronics,2,500.00,125.00,1000.00
1420,4/15/2022,7:01:00,138,Female,22,Clothing,4,500.00,205.00,2000.00
1519,1/8/2022,7:35:00,139,Female,36,Electronics,4,30.00,9.30,120.00
64,11/15/2022,6:34:00,7,Male,49,Clothing,4,25.00,8.50,100.00
592,12/26/2022,9:15:00,77,Female,46,Beauty,4,500.00,275.00,2000.00
912,10/31/2022,6:18:00,122,Male,51,Beauty,3,50.00,20.50,150.00
1064,4/14/2022,10:38:00,49,Male,49,Clothing,4,25.00,13.75,100.00
1592,3/16/2022,9:08:00,81,Female,46,Beauty,4,500.00,155.00,2000.00
1912,5/27/2022,7:40:00,146,Male,51,Beauty,3,50.00,22.00,150.00
134,8/25/2022,9:03:00,132,Male,49,Electronics,1,50.00,16.00,50.00
1134,8/5/2022,9:04:00,106,Male,49,Electronics,1,50.00,24.00,50.00
288,5/2/2022,9:59:00,27,Male,28,Clothing,4,30.00,12.00,120.00
323,1/21/2022,8:22:00,97,Female,29,Beauty,3,300.00,150.00,900.00
618,10/13/2022,10:22:00,5,Female,27,Beauty,1,50.00,26.00,50.00
720,4/8/2022,8:50:00,116,Female,56,Beauty,3,500.00,235.00,1500.00
1288,4/5/2022,11:56:00,26,Male,28,Clothing,4,30.00,9.00,120.00
1323,8/15/2022,10:49:00,136,Female,29,Beauty,3,300.00,114.00,900.00
1618,9/15/2022,6:27:00,118,Female,27,Beauty,1,50.00,13.50,50.00
1720,10/10/2022,8:51:00,28,Female,56,Beauty,3,500.00,190.00,1500.00
415,1/5/2022,9:59:00,85,Male,53,Clothing,2,30.00,8.10,60.00
736,12/18/2022,8:30:00,97,Male,29,Clothing,4,25.00,9.75,100.00
929,3/11/2022,10:18:00,40,Female,23,Beauty,3,25.00,10.50,75.00
1415,3/6/2022,7:11:00,146,Male,53,Clothing,2,30.00,15.30,60.00
1736,8/28/2022,8:57:00,87,Male,29,Clothing,4,25.00,10.25,100.00
1929,9/15/2022,6:50:00,62,Female,23,Beauty,3,25.00,12.75,75.00
264,12/26/2022,11:03:00,111,Male,47,Clothing,3,300.00,150.00,900.00
913,10/12/2022,10:52:00,78,Male,29,Electronics,3,30.00,16.50,90.00
940,1/5/2022,8:11:00,46,Female,20,Electronics,1,30.00,9.60,30.00
1264,5/27/2022,9:23:00,82,Male,47,Clothing,3,300.00,123.00,900.00
1913,6/23/2022,7:10:00,101,Male,29,Electronics,3,30.00,14.10,90.00
1940,6/15/2022,9:47:00,56,Female,20,Electronics,1,30.00,11.10,30.00
101,1/8/2022,8:46:00,24,Male,32,Clothing,2,300.00,135.00,600.00
1101,5/17/2022,7:47:00,15,Male,32,Clothing,2,300.00,132.00,600.00
189,1/2/2022,9:44:00,143,Male,63,Beauty,1,50.00,14.50,50.00
317,5/4/2022,7:54:00,117,Male,22,Electronics,3,30.00,12.00,90.00
322,10/19/2022,6:11:00,13,Male,51,Electronics,1,500.00,125.00,500.00
329,10/27/2022,7:42:00,52,Female,46,Electronics,4,25.00,8.00,100.00
1189,12/7/2022,6:08:00,104,Male,63,Beauty,1,50.00,20.50,50.00
1317,8/25/2022,8:02:00,144,Male,22,Electronics,3,30.00,12.00,90.00
1322,11/14/2022,9:56:00,10,Male,51,Electronics,1,500.00,250.00,500.00
1329,1/27/2022,10:39:00,119,Female,46,Electronics,4,25.00,9.25,100.00
235,3/10/2022,10:13:00,132,Female,23,Electronics,2,500.00,275.00,1000.00
300,1/8/2022,9:41:00,138,Female,19,Electronics,4,50.00,26.50,200.00
964,8/26/2022,8:18:00,15,Male,24,Clothing,3,300.00,156.00,900.00
1235,4/4/2022,6:44:00,87,Female,23,Electronics,2,500.00,220.00,1000.00
1300,8/8/2022,8:57:00,7,Female,19,Electronics,4,50.00,24.00,200.00
1964,8/2/2022,8:27:00,115,Male,24,Clothing,3,300.00,111.00,900.00
269,9/19/2022,11:31:00,87,Male,25,Clothing,4,500.00,250.00,2000.00
320,4/20/2022,8:35:00,57,Female,28,Electronics,4,300.00,159.00,1200.00
673,7/4/2022,10:14:00,18,Female,43,Clothing,3,500.00,270.00,1500.00
1269,1/1/2022,8:09:00,71,Male,25,Clothing,4,500.00,145.00,2000.00
1320,11/2/2022,11:55:00,102,Female,28,Electronics,4,300.00,84.00,1200.00
1673,6/14/2022,7:36:00,42,Female,43,Clothing,3,500.00,185.00,1500.00
142,4/8/2022,10:05:00,61,Male,35,Electronics,4,300.00,138.00,1200.00
223,1/15/2022,11:18:00,61,Female,64,Clothing,1,25.00,12.00,25.00
666,3/3/2022,10:59:00,49,Male,51,Electronics,3,50.00,16.00,150.00
1142,11/9/2022,9:49:00,2,Male,35,Electronics,4,300.00,114.00,1200.00
1223,2/20/2022,7:40:00,106,Female,64,Clothing,1,25.00,9.75,25.00
1666,12/8/2022,10:10:00,125,Male,51,Electronics,3,50.00,21.00,150.00
107,10/6/2022,9:18:00,75,Female,21,Clothing,4,300.00,78.00,1200.00
933,9/19/2022,7:53:00,81,Male,22,Beauty,1,30.00,12.90,30.00
1107,12/31/2022,11:14:00,62,Female,21,Clothing,4,300.00,102.00,1200.00
1933,1/12/2022,11:04:00,121,Male,22,Beauty,1,30.00,14.40,30.00
237,4/11/2022,8:54:00,105,Female,50,Beauty,2,500.00,165.00,1000.00
335,2/2/2022,9:23:00,2,Female,47,Beauty,4,30.00,10.80,120.00
1237,2/23/2022,9:20:00,48,Female,50,Beauty,2,500.00,215.00,1000.00
1335,5/27/2022,8:45:00,117,Female,47,Beauty,4,30.00,8.70,120.00
63,2/3/2022,11:49:00,127,Male,57,Electronics,2,25.00,6.25,50.00
195,8/14/2022,11:51:00,10,Male,52,Clothing,1,30.00,9.30,30.00
333,10/6/2022,8:15:00,21,Female,54,Electronics,4,300.00,99.00,1200.00
379,6/1/2022,7:28:00,76,Female,47,Clothing,1,25.00,8.50,25.00
490,1/27/2022,6:07:00,43,Male,34,Clothing,3,50.00,18.50,150.00
530,5/1/2022,7:52:00,8,Female,18,Electronics,4,30.00,9.00,120.00
740,12/1/2022,6:58:00,33,Female,25,Beauty,4,50.00,13.00,200.00
793,5/27/2022,10:53:00,1,Male,54,Beauty,1,30.00,14.70,30.00
1063,8/4/2022,10:26:00,56,Male,57,Electronics,2,25.00,11.00,50.00
1195,9/21/2022,7:07:00,55,Male,52,Clothing,1,30.00,12.00,30.00
1333,11/1/2022,11:38:00,151,Female,54,Electronics,4,300.00,165.00,1200.00
1379,1/2/2022,6:23:00,69,Female,47,Clothing,1,25.00,7.25,25.00
1490,10/26/2022,7:15:00,155,Male,34,Clothing,3,50.00,17.00,150.00
1530,12/10/2022,8:17:00,93,Female,18,Electronics,4,30.00,12.30,120.00
1740,7/16/2022,6:01:00,66,Female,25,Beauty,4,50.00,27.00,200.00
1793,12/11/2022,6:05:00,88,Male,54,Beauty,1,30.00,10.80,30.00
85,9/3/2022,8:05:00,68,Male,31,Clothing,3,50.00,19.00,150.00
232,8/12/2022,7:14:00,150,Female,43,Beauty,1,25.00,12.75,25.00
240,11/5/2022,11:49:00,95,Female,23,Beauty,1,300.00,123.00,300.00
993,9/7/2022,9:21:00,134,Female,48,Electronics,3,50.00,17.00,150.00
1085,8/12/2022,9:29:00,76,Male,31,Clothing,3,50.00,17.00,150.00
1232,5/23/2022,8:05:00,146,Female,43,Beauty,1,25.00,6.25,25.00
1240,8/7/2022,7:42:00,144,Female,23,Beauty,1,300.00,90.00,300.00
1993,12/29/2022,11:53:00,123,Female,48,Electronics,3,50.00,26.50,150.00
366,10/29/2022,9:32:00,116,Male,57,Clothing,2,50.00,17.50,100.00
372,6/19/2022,11:45:00,27,Female,24,Beauty,3,500.00,140.00,1500.00
596,2/12/2022,8:44:00,87,Female,64,Electronics,1,300.00,93.00,300.00
936,1/5/2022,10:51:00,143,Male,57,Beauty,4,50.00,19.50,200.00
1366,1/1/2022,11:34:00,25,Male,57,Clothing,2,50.00,23.50,100.00
1372,3/18/2022,10:53:00,60,Female,24,Beauty,3,500.00,145.00,1500.00
1596,3/28/2022,6:22:00,7,Female,64,Electronics,1,300.00,141.00,300.00
1936,6/19/2022,11:32:00,60,Male,57,Beauty,4,50.00,12.50,200.00
284,11/12/2022,9:17:00,129,Male,43,Clothing,4,50.00,20.50,200.00
434,10/26/2022,6:09:00,50,Female,43,Electronics,2,25.00,8.25,50.00
775,5/6/2022,11:07:00,98,Female,46,Electronics,4,25.00,9.50,100.00
977,7/26/2022,8:35:00,46,Female,35,Electronics,3,25.00,13.75,75.00
1284,12/16/2022,11:43:00,145,Male,43,Clothing,4,50.00,18.00,200.00
1434,2/4/2022,10:02:00,147,Female,43,Electronics,2,25.00,7.00,50.00
1775,12/18/2022,8:04:00,78,Female,46,Electronics,4,25.00,13.75,100.00
1977,8/5/2022,10:46:00,63,Female,35,Electronics,3,25.00,12.00,75.00
649,6/21/2022,8:17:00,44,Female,58,Clothing,2,300.00,135.00,600.00
1649,10/21/2022,7:44:00,72,Female,58,Clothing,2,300.00,75.00,600.00
54,10/20/2022,10:17:00,142,Female,38,Electronics,3,500.00,200.00,1500.00
68,12/15/2022,9:06:00,146,Male,25,Electronics,1,300.00,84.00,300.00
192,11/8/2022,8:05:00,134,Male,62,Beauty,2,50.00,13.00,100.00
1054,1/10/2022,9:24:00,49,Female,38,Electronics,3,500.00,140.00,1500.00
1068,9/14/2022,10:11:00,136,Male,25,Electronics,1,300.00,111.00,300.00
1192,3/29/2022,8:41:00,37,Male,62,Beauty,2,50.00,20.50,100.00
331,8/16/2022,8:33:00,28,Male,28,Electronics,3,30.00,10.20,90.00
346,9/5/2022,6:54:00,38,Male,59,Clothing,2,500.00,215.00,1000.00
657,1/29/2022,8:53:00,46,Male,40,Clothing,1,25.00,8.00,25.00
732,10/13/2022,8:45:00,136,Male,61,Electronics,2,500.00,250.00,1000.00
972,8/16/2022,11:42:00,139,Male,49,Beauty,4,25.00,6.75,100.00
1331,5/15/2022,9:29:00,36,Male,28,Electronics,3,30.00,13.80,90.00
1346,4/10/2022,10:01:00,112,Male,59,Clothing,2,500.00,130.00,1000.00
1657,8/9/2022,10:05:00,61,Male,40,Clothing,1,25.00,8.00,25.00
1732,2/25/2022,7:05:00,55,Male,61,Electronics,2,500.00,215.00,1000.00
1972,12/21/2022,6:39:00,5,Male,49,Beauty,4,25.00,9.25,100.00
714,10/29/2022,8:50:00,20,Female,18,Clothing,1,500.00,190.00,500.00
1714,11/23/2022,6:07:00,111,Female,18,Clothing,1,500.00,245.00,500.00
193,3/27/2022,10:40:00,55,Male,35,Beauty,3,500.00,180.00,1500.00
577,4/21/2022,11:55:00,45,Male,21,Beauty,4,500.00,215.00,2000.00
848,1/24/2022,10:46:00,15,Female,63,Clothing,3,25.00,9.75,75.00
945,10/1/2022,10:01:00,120,Male,30,Beauty,1,25.00,13.25,25.00
1193,5/11/2022,11:31:00,50,Male,35,Beauty,3,500.00,145.00,1500.00
1577,9/11/2022,6:22:00,145,Male,21,Beauty,4,500.00,160.00,2000.00
1848,12/27/2022,10:16:00,63,Female,63,Clothing,3,25.00,12.50,75.00
1945,4/19/2022,9:55:00,33,Male,30,Beauty,1,25.00,10.75,25.00
11,2/27/2022,10:30:00,151,Male,23,Clothing,2,50.00,23.50,100.00
821,11/23/2022,11:27:00,40,Male,49,Electronics,1,300.00,129.00,300.00
1011,4/1/2022,6:48:00,15,Male,23,Clothing,2,50.00,19.00,100.00
1821,10/3/2022,7:17:00,42,Male,49,Electronics,1,300.00,108.00,300.00
133,6/23/2022,9:01:00,70,Male,20,Electronics,3,300.00,87.00,900.00
1133,3/5/2022,6:42:00,58,Male,20,Electronics,3,300.00,159.00,900.00
16,6/25/2022,10:33:00,82,Male,19,Clothing,3,500.00,180.00,1500.00
42,12/8/2022,8:29:00,63,Male,22,Clothing,3,300.00,147.00,900.00
292,10/10/2022,6:33:00,111,Male,20,Beauty,4,300.00,141.00,1200.00
416,8/21/2022,9:29:00,55,Male,53,Electronics,4,500.00,245.00,2000.00
584,12/31/2022,10:21:00,106,Female,27,Beauty,4,50.00,16.50,200.00
861,9/30/2022,8:57:00,22,Female,41,Clothing,3,30.00,9.60,90.00
1016,12/12/2022,7:39:00,52,Male,19,Clothing,3,500.00,200.00,1500.00
1042,2/11/2022,6:21:00,7,Male,22,Clothing,3,300.00,150.00,900.00
1292,5/15/2022,8:20:00,88,Male,20,Beauty,4,300.00,90.00,1200.00
1416,12/29/2022,10:47:00,111,Male,53,Electronics,4,500.00,125.00,2000.00
1584,9/3/2022,11:07:00,62,Female,27,Beauty,4,50.00,16.50,200.00
1861,7/4/2022,10:41:00,145,Female,41,Clothing,3,30.00,10.20,90.00
256,1/9/2022,8:05:00,3,Male,23,Clothing,2,500.00,270.00,1000.00
1256,11/5/2022,9:58:00,29,Male,23,Clothing,2,500.00,190.00,1000.00
44,3/3/2022,11:07:00,93,Female,22,Clothing,1,25.00,11.75,25.00
257,12/10/2022,8:49:00,130,Male,19,Beauty,4,500.00,165.00,2000.00
1044,2/20/2022,9:08:00,70,Female,22,Clothing,1,25.00,7.50,25.00
1257,5/10/2022,11:55:00,29,Male,19,Beauty,4,500.00,255.00,2000.00
268,4/14/2022,8:26:00,93,Female,28,Electronics,1,30.00,8.70,30.00
287,8/26/2022,11:07:00,88,Male,54,Clothing,4,25.00,10.00,100.00
966,11/7/2022,7:22:00,119,Male,60,Electronics,2,500.00,190.00,1000.00
1268,6/9/2022,9:33:00,15,Female,28,Electronics,1,30.00,14.10,30.00
1287,9/13/2022,8:03:00,120,Male,54,Clothing,4,25.00,7.00,100.00
1966,7/20/2022,9:52:00,74,Male,60,Electronics,2,500.00,200.00,1000.00
70,12/27/2022,10:48:00,147,Female,43,Clothing,1,300.00,84.00,300.00
371,12/18/2022,10:01:00,32,Female,20,Beauty,1,25.00,13.00,25.00
900,11/10/2022,8:41:00,130,Male,21,Clothing,2,30.00,15.60,60.00
1070,7/14/2022,11:12:00,102,Female,43,Clothing,1,300.00,120.00,300.00
1371,5/6/2022,6:52:00,41,Female,20,Beauty,1,25.00,13.50,25.00
1900,1/21/2022,6:43:00,65,Male,21,Clothing,2,30.00,10.80,60.00
8,12/27/2022,11:19:00,148,Male,30,Electronics,4,25.00,11.00,100.00
41,10/11/2022,10:36:00,88,Male,34,Clothing,2,25.00,13.25,50.00
454,3/12/2022,7:20:00,13,Female,46,Beauty,1,25.00,13.00,25.00
780,7/6/2022,11:30:00,107,Male,52,Electronics,2,25.00,13.25,50.00
920,8/20/2022,10:25:00,99,Female,28,Beauty,3,25.00,6.75,75.00
1008,1/10/2022,8:51:00,116,Male,30,Electronics,4,25.00,13.00,100.00
1041,5/10/2022,7:27:00,74,Male,34,Clothing,2,25.00,11.00,50.00
1454,6/25/2022,11:18:00,22,Female,46,Beauty,1,25.00,6.75,25.00
1780,12/11/2022,10:00:00,32,Male,52,Electronics,2,25.00,10.50,50.00
1920,10/24/2022,8:33:00,23,Female,28,Beauty,3,25.00,9.25,75.00
396,12/15/2022,7:11:00,29,Female,55,Beauty,1,30.00,10.80,30.00
1396,6/7/2022,6:23:00,9,Female,55,Beauty,1,30.00,8.40,30.00
168,4/29/2022,9:20:00,138,Male,53,Clothing,1,300.00,102.00,300.00
400,3/8/2022,9:52:00,2,Male,53,Clothing,4,50.00,24.00,200.00
611,7/21/2022,8:13:00,11,Male,51,Beauty,3,500.00,180.00,1500.00
800,9/19/2022,7:33:00,111,Male,32,Clothing,4,300.00,87.00,1200.00
1168,7/10/2022,7:56:00,68,Male,53,Clothing,1,300.00,150.00,300.00
1400,9/12/2022,11:54:00,115,Male,53,Clothing,4,50.00,20.00,200.00
1611,11/17/2022,7:30:00,125,Male,51,Beauty,3,500.00,180.00,1500.00
1800,8/21/2022,10:53:00,1,Male,32,Clothing,4,300.00,111.00,1200.00
272,6/10/2022,11:57:00,112,Female,61,Electronics,2,50.00,27.50,100.00
473,9/25/2022,10:09:00,1,Male,64,Beauty,1,50.00,14.50,50.00
506,4/29/2022,7:13:00,9,Male,34,Beauty,3,500.00,200.00,1500.00
766,1/4/2022,8:02:00,128,Male,38,Electronics,3,300.00,165.00,900.00
1272,4/14/2022,11:59:00,66,Female,61,Electronics,2,50.00,17.00,100.00
1473,3/19/2022,9:06:00,30,Male,64,Beauty,1,50.00,13.00,50.00
1506,1/9/2022,7:31:00,52,Male,34,Beauty,3,500.00,245.00,1500.00
1766,11/22/2022,6:08:00,6,Male,38,Electronics,3,300.00,129.00,900.00
135,4/18/2022,7:22:00,104,Male,20,Clothing,2,25.00,13.00,50.00
1135,1/14/2022,8:16:00,124,Male,20,Clothing,2,25.00,12.50,50.00
2,6/24/2022,10:07:00,104,Female,26,Clothing,2,500.00,135.00,1000.00
158,1/21/2022,11:38:00,141,Female,44,Electronics,2,300.00,132.00,600.00
185,6/27/2022,9:48:00,57,Male,24,Clothing,1,25.00,7.00,25.00
433,7/29/2022,8:48:00,144,Male,29,Beauty,4,50.00,20.00,200.00
1002,3/2/2022,9:24:00,69,Female,26,Clothing,2,500.00,270.00,1000.00
1158,2/24/2022,9:29:00,77,Female,44,Electronics,2,300.00,138.00,600.00
1185,10/4/2022,10:28:00,153,Male,24,Clothing,1,25.00,10.25,25.00
1433,1/16/2022,11:41:00,113,Male,29,Beauty,4,50.00,15.50,200.00
152,6/16/2022,11:58:00,120,Male,43,Electronics,4,500.00,210.00,2000.00
753,7/6/2022,10:07:00,70,Female,32,Clothing,1,30.00,15.90,30.00
763,4/23/2022,9:43:00,58,Male,34,Clothing,2,25.00,11.50,50.00
932,10/8/2022,8:33:00,120,Female,45,Beauty,4,25.00,7.75,100.00
1152,12/26/2022,7:48:00,87,Male,43,Electronics,4,500.00,170.00,2000.00
1753,7/17/2022,7:40:00,28,Female,32,Clothing,1,30.00,10.50,30.00
1763,6/30/2022,11:37:00,93,Male,34,Clothing,2,25.00,13.50,50.00
1932,11/8/2022,7:07:00,96,Female,45,Beauty,4,25.00,6.25,100.00
399,12/7/2022,9:25:00,136,Female,64,Beauty,2,30.00,12.90,60.00
500,10/14/2022,6:11:00,120,Female,60,Beauty,4,25.00,11.50,100.00
514,11/4/2022,8:35:00,139,Female,18,Electronics,1,300.00,96.00,300.00
1399,1/28/2022,9:32:00,15,Female,64,Beauty,2,30.00,16.20,60.00
1500,4/20/2022,8:36:00,53,Female,60,Beauty,4,25.00,8.50,100.00
1514,7/12/2022,10:55:00,59,Female,18,Electronics,1,300.00,75.00,300.00
947,7/31/2022,7:09:00,4,Male,50,Beauty,1,300.00,129.00,300.00
1947,3/5/2022,6:27:00,134,Male,50,Beauty,1,300.00,75.00,300.00
220,5/7/2022,6:44:00,138,Male,64,Beauty,1,500.00,140.00,500.00
339,8/18/2022,10:27:00,33,Female,22,Electronics,2,25.00,10.25,50.00
785,10/19/2022,6:09:00,88,Female,31,Beauty,4,50.00,13.00,200.00
885,9/17/2022,10:10:00,121,Female,52,Clothing,4,30.00,14.40,120.00
